swenschulz,Swen Schulz SPD
Uwe_Schulz_AfD,Uwe Schulz AfD
K_SA,Kordula Schulz-Asche GR�NE
UweSchummer,Uwe Schummer CDU
armin_schuster,Armin Schuster CDU
FrankSchwabe,Frank Schwabe SPD
s_schwartze,Stefan Schwartze SPD
Schwarz_MdB,Andreas Schwarz SPD
rischwasu,Rita Schwarzel�hr-Sutter SPD
cdu_schweiger,Torsten Schweiger CDU
mseesternpauly,Matthias Seestern-Pauly FDP
Th_Seitz_AfD,Thomas Seitz AfD
PatrickSensburg,Patrick Sensburg CDU
Martin_Sichert,Martin Sichert AfD
SilberhornMdB,Thomas Silberhorn CSU
BjoernSimon,Bj�rn Simon CDU
franksitta,Frank Sitta FDP
Petra_Sitte_MdB,Petra Sitte LINKE
JudithSkudelny,Judith Skudelny FDP
solms,Hermann Otto Solms FDP
HESommer,Helin Evrim Sommer LINKE
TinoSorge,Tino Sorge CDU
jensspahn,Jens Spahn CDU
DirkSpaniel,Dr. Dirk Spaniel AfD
rainerspiering,Rainer Spiering SPD
Rene_Springer,Rene Springer AfD
stadler_svenja,Svenja Stadler SPD
katrin_staffler,Katrin Staffler CSU
stamm_fibich,Martina Stamm-Fibich SPD
starkwatzinger,Bettina Stark-Watzinger FDP
franksteffel,Frank Steffel CDU
SteffenSonja,Sonja Steffen SPD
AndreasSteier,Andreas Steier CDU
stonie_kiel,Mathias Stein SPD
Peter_Stein_CDU,Peter Stein CDU
SteinekeCDU,Sebastian Steineke CDU
JoSteiniger,Johannes Steiniger CDU
Stettenchris,Christian v. Stetten CDU
Beatrix_vStorch,Beatrix von Storch AfD
gero_storjohann,Gero Storjohann CDU
MAStrackZi,Marie-Agnes Strack-Zimmermann FDP
FrStraetmanns,Friedrich Straetmanns LINKE
bstrasser,Benjamin Strasser FDP
W_SK,Wolfgang Strengmann-Kuhn GR�NE
margit_stumpp,Margit Stump GR�NE
KatjaSuding,Katja Suding FDP
KirstenTackmann,Kirsten Tackmann LINKE
petertauber,Peter Tauber CDU
tebroke,Hermann-Josef Tebroke CDU
LindaTeuteberg,Linda Teuteberg FDP
EUTheurer,Michael Theurer FDP
michael_thews,Michael Thews SPD
StephanThomae,Stephan Thomae FDP
dr_tiemann,Dietlind Tiemann CDU
MTodtenhausen,Manfred Todtenhausen FDP
florian_toncar,Florian Toncar FDP
Toens_NRW04,Markus T�ns SPD
CarstenTraeger,Carsten Tr�ger SPD
MarkusTressel,Markus Tressel GR�NE
JTrittin,J�rgen Trittin GR�NE
uhl_markus,Markus Uhl CDU
UllmannMdB,Andrew Ullmann FDP
julia_verlinden,Dr. Julia Verlinden GR�NE
johannesvogel,Johannes Vogel FDP
voglerk,Kathrin Vogler SPD
UteVogt,Ute Vogt SPD
MarjaVoellers,Marja-Liisa SPD
KEESdeVriesCDU,Kees de Vries CDU
JoWadephul,Johann Wadephul CDU
SWagenknecht,Sahra Wagenknecht LINKE
BeateWaRo,Beate Walter-Rosenheimer GR�NE
wanderwitz,Marco Wanderwitz CDU
GabiWeberSPD,Gabi Weber SPD
sandra_weeser,Sandra Weeser FDP
kaiwegner,Kai Wegner CDU
Alice_Weidel,Alice Weidel AfD
HaraldWeinberg,Harald Weinberg LINKE
MarcusWeinberg,Marcus Weinberg CDU
anjaweisgerber,Anja Weisgerber CSU
PeterWeissMdB,Peter Wei� CDU
Wellenreuther,Ingo Wellenreuther CDU
